group,stratum,stratum_value,n_tasks,n_variants,psr_task,ci_low,ci_high,psr_variant,severity
reference,unfolds_target_function,True,45,55,0.03333333333333333,0.0,0.08888888888888889,0.03636363636363636,S
deepseek-prover-v2-7b,simp_mentions_target_function,False,7,18,0.5952380952380951,0.42857142857142855,0.7857142857142857,0.5555555555555556,
deepseek-prover-v2-7b,simp_mentions_target_function,True,24,77,0.5922619047619048,0.5248015873015873,0.6651785714285715,0.5974025974025974,
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,False,7,24,0.5425170068027211,0.42857142857142855,0.6564625850340136,0.5833333333333334,
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,True,23,69,0.5978260869565216,0.5217391304347826,0.6775362318840579,0.5797101449275363,
goedel-prover-v2-32b,simp_mentions_target_function,False,4,10,0.9375,0.8125,1.0,0.9,
goedel-prover-v2-32b,simp_mentions_target_function,True,22,73,0.5914502164502164,0.5189393939393939,0.6709956709956709,0.5753424657534246,
goedel-prover-v2-8b,simp_mentions_target_function,False,6,16,0.7361111111111112,0.5555555555555555,0.9027777777777777,0.6875,
goedel-prover-v2-8b,simp_mentions_target_function,True,23,77,0.6226708074534161,0.5538302277432713,0.6987707039337473,0.6103896103896104,
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,False,7,27,0.7210884353741497,0.6258503401360543,0.8282312925170069,0.7037037037037037,
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,True,25,70,0.58,0.5133333333333333,0.6566666666666667,0.5714285714285714,
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,False,4,12,0.6666666666666666,0.5,0.875,0.6666666666666666,
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,True,27,87,0.597442680776014,0.5436507936507936,0.654320987654321,0.6091954022988506,
goedel-prover-v2-8b__unfold,simp_mentions_target_function,True,1,2,0.5,0.5,0.5,0.5,
qwen3-14b,simp_mentions_target_function,False,5,16,0.3833333333333333,0.29999999999999993,0.4666666666666666,0.375,
qwen3-14b__neutral,simp_mentions_target_function,False,8,22,0.46875,0.38541666666666663,0.5416666666666666,0.45454545454545453,
qwen3-32b,simp_mentions_target_function,False,4,12,0.6041666666666666,0.3333333333333333,0.875,0.5833333333333334,
qwen3-32b,simp_mentions_target_function,True,1,2,0.5,0.5,0.5,0.5,
reference,simp_mentions_target_function,False,45,126,0.4787301587301587,0.4402116402116402,0.5198452380952381,0.4523809523809524,
reference,simp_mentions_target_function,True,1,4,0.5,0.5,0.5,0.5,
deepseek-prover-v2-7b,simp_mentions_target_function,False,7,7,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,simp_mentions_target_function,True,24,24,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,simp_mentions_target_function,False,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333,E
deepseek-prover-v2-7b,simp_mentions_target_function,True,15,22,0.8,0.6,1.0,0.8636363636363636,E
deepseek-prover-v2-7b,simp_mentions_target_function,False,7,8,0.2857142857142857,0.0,0.5714285714285714,0.25,S
deepseek-prover-v2-7b,simp_mentions_target_function,True,23,31,0.08695652173913043,0.0,0.1956521739130435,0.0967741935483871,S
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,False,7,7,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,True,23,23,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,False,5,8,0.2,0.0,0.6,0.5,E
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,True,13,17,0.7307692307692307,0.5,0.9230769230769231,0.7647058823529411,E
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,False,7,9,0.2857142857142857,0.0,0.5714285714285714,0.3333333333333333,S
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,True,22,29,0.1590909090909091,0.022727272727272728,0.3181818181818182,0.13793103448275862,S
goedel-prover-v2-32b,simp_mentions_target_function,False,4,4,1.0,1.0,1.0,1.0,D
goedel-prover-v2-32b,simp_mentions_target_function,True,22,22,1.0,1.0,1.0,1.0,D
goedel-prover-v2-32b,simp_mentions_target_function,False,1,1,0.0,0.0,0.0,0.0,E
goedel-prover-v2-32b,simp_mentions_target_function,True,16,23,0.71875,0.5,0.90625,0.7391304347826086,E
goedel-prover-v2-32b,simp_mentions_target_function,False,4,5,1.0,1.0,1.0,1.0,S
goedel-prover-v2-32b,simp_mentions_target_function,True,21,28,0.11904761904761904,0.0,0.2619047619047619,0.10714285714285714,S
goedel-prover-v2-8b,simp_mentions_target_function,False,6,6,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b,simp_mentions_target_function,True,23,23,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b,simp_mentions_target_function,False,4,4,0.0,0.0,0.0,0.0,E
goedel-prover-v2-8b,simp_mentions_target_function,True,15,22,0.9166666666666666,0.7666666666666667,1.0,0.9090909090909091,E
goedel-prover-v2-8b,simp_mentions_target_function,False,5,6,0.8,0.4,1.0,0.8333333333333334,S
goedel-prover-v2-8b,simp_mentions_target_function,True,23,32,0.15217391304347827,0.021739130434782608,0.30434782608695654,0.125,S
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,False,7,7,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,True,25,25,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,False,6,9,0.3333333333333333,0.0,0.6666666666666666,0.5555555555555556,E
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,True,12,16,0.75,0.5,1.0,0.8125,E
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,False,7,11,0.7142857142857143,0.42857142857142855,1.0,0.6363636363636364,S
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,True,24,29,0.08333333333333333,0.0,0.20833333333333334,0.06896551724137931,S
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,False,4,4,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,True,27,27,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,False,1,3,1.0,1.0,1.0,1.0,E
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,True,19,24,0.8947368421052632,0.7368421052631579,1.0,0.9166666666666666,E
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,False,4,5,0.25,0.0,0.75,0.2,S
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,True,27,36,0.09259259259259259,0.018518518518518517,0.18518518518518517,0.1111111111111111,S
goedel-prover-v2-8b__unfold,simp_mentions_target_function,True,1,1,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__unfold,simp_mentions_target_function,True,1,1,0.0,0.0,0.0,0.0,S
qwen3-14b,simp_mentions_target_function,False,5,5,1.0,1.0,1.0,1.0,D
qwen3-14b,simp_mentions_target_function,False,4,5,0.25,0.0,0.75,0.2,E
qwen3-14b,simp_mentions_target_function,False,5,6,0.0,0.0,0.0,0.0,S
qwen3-14b__neutral,simp_mentions_target_function,False,8,8,1.0,1.0,1.0,1.0,D
qwen3-14b__neutral,simp_mentions_target_function,False,4,5,0.25,0.0,0.75,0.2,E
qwen3-14b__neutral,simp_mentions_target_function,False,8,9,0.125,0.0,0.375,0.1111111111111111,S
qwen3-32b,simp_mentions_target_function,False,4,4,1.0,1.0,1.0,1.0,D
qwen3-32b,simp_mentions_target_function,True,1,1,1.0,1.0,1.0,1.0,D
qwen3-32b,simp_mentions_target_function,False,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333,E
qwen3-32b,simp_mentions_target_function,False,4,5,0.375,0.0,0.75,0.4,S
qwen3-32b,simp_mentions_target_function,True,1,1,0.0,0.0,0.0,0.0,S
reference,simp_mentions_target_function,False,45,45,1.0,1.0,1.0,1.0,D
reference,simp_mentions_target_function,True,1,1,1.0,1.0,1.0,1.0,D
reference,simp_mentions_target_function,False,19,26,0.46491228070175433,0.25438596491228066,0.6842105263157895,0.38461538461538464,E
reference,simp_mentions_target_function,True,1,1,0.0,0.0,0.0,0.0,E
reference,simp_mentions_target_function,False,45,55,0.03333333333333333,0.0,0.08888888888888889,0.03636363636363636,S
reference,simp_mentions_target_function,True,1,2,0.5,0.5,0.5,0.5,S
deepseek-prover-v2-7b,uses_automation,True,31,95,0.5929339477726575,0.5241935483870968,0.664362519201229,0.5894736842105263,
deepseek-prover-v2-7b__hard_unfold,uses_automation,True,30,93,0.584920634920635,0.521031746031746,0.6543650793650794,0.5806451612903226,
goedel-prover-v2-32b,uses_automation,True,26,83,0.6446886446886446,0.5645604395604396,0.7275641025641026,0.6144578313253012,
goedel-prover-v2-8b,uses_automation,True,29,93,0.6461412151067324,0.5775862068965516,0.7208538587848933,0.6236559139784946,
goedel-prover-v2-8b__avoid_unfold,uses_automation,False,2,4,1.0,1.0,1.0,1.0,
goedel-prover-v2-8b__avoid_unfold,uses_automation,True,30,93,0.584920634920635,0.5293650793650794,0.6460317460317461,0.5913978494623656,
goedel-prover-v2-8b__hard_unfold,uses_automation,True,31,99,0.6063748079877114,0.5526113671274961,0.6639784946236559,0.6161616161616161,
goedel-prover-v2-8b__unfold,uses_automation,True,1,2,0.5,0.5,0.5,0.5,
qwen3-14b,uses_automation,True,5,16,0.3833333333333333,0.29999999999999993,0.4666666666666666,0.375,
qwen3-14b__neutral,uses_automation,False,1,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,
qwen3-14b__neutral,uses_automation,True,7,19,0.4404761904761905,0.369047619047619,0.5,0.42105263157894735,
qwen3-32b,uses_automation,False,1,2,1.0,1.0,1.0,1.0,
qwen3-32b,uses_automation,True,4,12,0.47916666666666663,0.3333333333333333,0.6458333333333334,0.5,
reference,uses_automation,True,46,130,0.4791925465838509,0.4399572981366459,0.519927536231884,0.45384615384615384,
deepseek-prover-v2-7b,uses_automation,True,31,31,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,uses_automation,True,18,25,0.7222222222222222,0.5,0.9444444444444444,0.8,E
deepseek-prover-v2-7b,uses_automation,True,30,39,0.13333333333333333,0.03333333333333333,0.25,0.1282051282051282,S
deepseek-prover-v2-7b__hard_unfold,uses_automation,True,30,30,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,uses_automation,True,18,25,0.5833333333333334,0.3611111111111111,0.8055555555555556,0.68,E
deepseek-prover-v2-7b__hard_unfold,uses_automation,True,29,38,0.1896551724137931,0.06896551724137931,0.3448275862068966,0.18421052631578946,S
goedel-prover-v2-32b,uses_automation,True,26,26,1.0,1.0,1.0,1.0,D
goedel-prover-v2-32b,uses_automation,True,17,24,0.6764705882352942,0.4411764705882353,0.8823529411764706,0.7083333333333334,E
goedel-prover-v2-32b,uses_automation,True,25,33,0.26,0.1,0.44,0.24242424242424243,S
goedel-prover-v2-8b,uses_automation,True,29,29,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b,uses_automation,True,19,26,0.7236842105263158,0.5263157894736842,0.8947368421052632,0.7692307692307693,E
goedel-prover-v2-8b,uses_automation,True,28,38,0.26785714285714285,0.10714285714285714,0.42857142857142855,0.23684210526315788,S
goedel-prover-v2-8b__avoid_unfold,uses_automation,False,2,2,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__avoid_unfold,uses_automation,True,30,30,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__avoid_unfold,uses_automation,True,18,25,0.6111111111111112,0.3888888888888889,0.8333333333333334,0.72,E
goedel-prover-v2-8b__avoid_unfold,uses_automation,False,2,2,1.0,1.0,1.0,1.0,S
goedel-prover-v2-8b__avoid_unfold,uses_automation,True,29,38,0.1724137931034483,0.034482758620689655,0.3103448275862069,0.18421052631578946,S
goedel-prover-v2-8b__hard_unfold,uses_automation,True,31,31,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__hard_unfold,uses_automation,True,20,27,0.9,0.75,1.0,0.9259259259259259,E
goedel-prover-v2-8b__hard_unfold,uses_automation,True,31,41,0.11290322580645161,0.03225806451612903,0.20967741935483872,0.12195121951219512,S
goedel-prover-v2-8b__unfold,uses_automation,True,1,1,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__unfold,uses_automation,True,1,1,0.0,0.0,0.0,0.0,S
qwen3-14b,uses_automation,True,5,5,1.0,1.0,1.0,1.0,D
qwen3-14b,uses_automation,True,4,5,0.25,0.0,0.75,0.2,E
qwen3-14b,uses_automation,True,5,6,0.0,0.0,0.0,0.0,S
qwen3-14b__neutral,uses_automation,False,1,1,1.0,1.0,1.0,1.0,D
qwen3-14b__neutral,uses_automation,True,7,7,1.0,1.0,1.0,1.0,D
qwen3-14b__neutral,uses_automation,False,1,1,0.0,0.0,0.0,0.0,E
qwen3-14b__neutral,uses_automation,True,3,4,0.3333333333333333,0.0,1.0,0.25,E
qwen3-14b__neutral,uses_automation,False,1,1,1.0,1.0,1.0,1.0,S
qwen3-14b__neutral,uses_automation,True,7,8,0.0,0.0,0.0,0.0,S
qwen3-32b,uses_automation,False,1,1,1.0,1.0,1.0,1.0,D
qwen3-32b,uses_automation,True,4,4,1.0,1.0,1.0,1.0,D
qwen3-32b,uses_automation,True,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333,E
qwen3-32b,uses_automation,False,1,1,1.0,1.0,1.0,1.0,S
qwen3-32b,uses_automation,True,4,5,0.125,0.0,0.375,0.2,S
reference,uses_automation,True,46,46,1.0,1.0,1.0,1.0,D
reference,uses_automation,True,20,27,0.4416666666666666,0.24166666666666664,0.65,0.37037037037037035,E
reference,uses_automation,True,46,57,0.043478260869565216,0.0,0.09782608695652174,0.05263157894736842,S
deepseek-prover-v2-7b,mentions_code_aux_identifier,False,27,87,0.5881834215167548,0.5158730158730159,0.6666666666666665,0.5862068965517241,
deepseek-prover-v2-7b,mentions_code_aux_identifier,True,4,8,0.625,0.5,0.875,0.625,
deepseek-prover-v2-7b__hard_unfold,mentions_code_aux_identifier,False,28,89,0.5909863945578231,0.5229591836734694,0.6641156462585034,0.5842696629213483,
deepseek-prover-v2-7b__hard_unfold,mentions_code_aux_identifier,True,2,4,0.5,0.5,0.5,0.5,
goedel-prover-v2-32b,mentions_code_aux_identifier,False,24,79,0.6359126984126985,0.5560515873015873,0.7192460317460316,0.6075949367088608,
goedel-prover-v2-32b,mentions_code_aux_identifier,True,2,4,0.75,0.5,1.0,0.75,
goedel-prover-v2-8b,mentions_code_aux_identifier,False,27,89,0.6384479717813051,0.5705467372134039,0.7125220458553791,0.6179775280898876,
goedel-prover-v2-8b,mentions_code_aux_identifier,True,2,4,0.75,0.5,1.0,0.75,
goedel-prover-v2-8b__avoid_unfold,mentions_code_aux_identifier,False,29,91,0.6223316912972086,0.5545977011494252,0.6941707717569786,0.6153846153846154,
goedel-prover-v2-8b__avoid_unfold,mentions_code_aux_identifier,True,3,6,0.5,0.5,0.5,0.5,
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,False,27,88,0.6005291005291005,0.5511463844797178,0.6534391534391534,0.6136363636363636,
goedel-prover-v2-8b__hard_unfold,mentions_code_aux_identifier,True,4,11,0.6458333333333333,0.41666666666666663,0.875,0.6363636363636364,
goedel-prover-v2-8b__unfold,mentions_code_aux_identifier,True,1,2,0.5,0.5,0.5,0.5,
qwen3-14b,mentions_code_aux_identifier,False,5,16,0.3833333333333333,0.29999999999999993,0.4666666666666666,0.375,
qwen3-14b__neutral,mentions_code_aux_identifier,False,7,20,0.4642857142857143,0.369047619047619,0.5476190476190476,0.45,
qwen3-14b__neutral,mentions_code_aux_identifier,True,1,2,0.5,0.5,0.5,0.5,
qwen3-32b,mentions_code_aux_identifier,False,5,14,0.5833333333333333,0.3666666666666666,0.8166666666666668,0.5714285714285714,
reference,mentions_code_aux_identifier,False,43,122,0.47774086378737535,0.4364894795127353,0.52093992248062,0.45081967213114754,
reference,mentions_code_aux_identifier,True,3,8,0.5,0.5,0.5,0.5,
deepseek-prover-v2-7b,mentions_code_aux_identifier,False,27,27,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,mentions_code_aux_identifier,True,4,4,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,mentions_code_aux_identifier,False,18,25,0.7222222222222222,0.5,0.9444444444444444,0.8,E
deepseek-prover-v2-7b,mentions_code_aux_identifier,False,26,35,0.11538461538461539,0.019230769230769232,0.23076923076923078,0.11428571428571428,S
deepseek-prover-v2-7b,mentions_code_aux_identifier,True,4,4,0.25,0.0,0.75,0.25,S
deepseek-prover-v2-7b__hard_unfold,mentions_code_aux_identifier,False,28,28,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,mentions_code_aux_identifier,True,2,2,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,mentions_code_aux_identifier,False,18,25,0.5833333333333334,0.3611111111111111,0.8055555555555556,0.68,E
deepseek-prover-v2-7b__hard_unfold,mentions_code_aux_identifier,False,27,36,0.2037037037037037,0.07407407407407407,0.35185185185185186,0.19444444444444445,S
deepseek-prover-v2-7b__hard_unfold,mentions_code_aux_identifier,True,2,2,0.0,0.0,0.0,0.0,S
goedel-prover-v2-32b,mentions_code_aux_identifier,False,24,24,1.0,1.0,1.0,1.0,D
goedel-prover-v2-32b,mentions_code_aux_identifier,True,2,2,1.0,1.0,1.0,1.0,D
