n_tasks,n_variants,psr_a,psr_b,delta,ci_low,ci_high,p_perm,model,stratum,stratum_value
6,16,0.5,0.4444444444444444,0.05555555555555555,0.0,0.16666666666666666,1.0,qwen3-14b__neutral,all,
0,0,,,,,,,qwen3-14b__neutral,unfolds_target_function,False
6,16,0.5,0.4444444444444444,0.05555555555555555,0.0,0.16666666666666666,1.0,qwen3-14b__neutral,unfolds_target_function,True
6,6,1.0,1.0,0.0,0.0,0.0,1.0,qwen3-14b__neutral,severity,D
3,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,qwen3-14b__neutral,severity,E
6,7,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,1.0,qwen3-14b__neutral,severity,S
4,12,0.47916666666666663,0.47916666666666663,0.0,0.0,0.0,1.0,qwen3-32b,all,
0,0,,,,,,,qwen3-32b,unfolds_target_function,False
4,12,0.47916666666666663,0.47916666666666663,0.0,0.0,0.0,1.0,qwen3-32b,unfolds_target_function,True
4,4,1.0,1.0,0.0,0.0,0.0,1.0,qwen3-32b,severity,D
3,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,qwen3-32b,severity,E
4,5,0.125,0.125,0.0,0.0,0.0,1.0,qwen3-32b,severity,S
