model_id,rule,scope,psr,ci_low,ci_high,draw_p2_5,draw_p97_5,n_tasks,n_draws,seed
goedel-prover-v2-8b,worst_valid_oracle,E,0.5175438596491228,0.29824561403508776,0.7280701754385964,,,19,,20260909
goedel-prover-v2-32b,first_valid,overall,0.6446886446886446,0.5645604395604396,0.7275641025641026,,,26,,20260909
goedel-prover-v2-32b,shortest_valid,overall,0.7005494505494506,0.6282051282051282,0.7747252747252749,,,26,,20260909
goedel-prover-v2-32b,random_valid,overall,0.6678882783882785,0.6089732142857143,0.7259157509157509,0.6190018315018313,0.7101648351648352,26,1000.0,20260909
goedel-prover-v2-32b,all_valid_mean,overall,0.6666208791208792,0.6089732142857143,0.7259157509157509,,,26,,20260909
goedel-prover-v2-32b,best_valid_oracle,overall,0.7614468864468864,0.7005494505494505,0.8241758241758241,,,26,,20260909
goedel-prover-v2-32b,worst_valid_oracle,overall,0.5549450549450549,0.4917582417582418,0.6254578754578753,,,26,,20260909
goedel-prover-v2-32b,first_valid,S,0.26,0.1,0.44,,,25,,20260909
goedel-prover-v2-32b,shortest_valid,S,0.38,0.2,0.56,,,25,,20260909
goedel-prover-v2-32b,random_valid,S,0.28562,0.172,0.41200000000000003,0.16,0.4,25,1000.0,20260909
goedel-prover-v2-32b,all_valid_mean,S,0.288,0.172,0.41200000000000003,,,25,,20260909
goedel-prover-v2-32b,best_valid_oracle,S,0.56,0.36,0.74,,,25,,20260909
goedel-prover-v2-32b,worst_valid_oracle,S,0.04,0.0,0.12,,,25,,20260909
goedel-prover-v2-32b,first_valid,E,0.6764705882352942,0.4411764705882353,0.8823529411764706,,,17,,20260909
goedel-prover-v2-32b,shortest_valid,E,0.7058823529411765,0.47058823529411764,0.8823529411764706,,,17,,20260909
goedel-prover-v2-32b,random_valid,E,0.7149411764705882,0.5735294117647058,0.8470588235294116,0.5588235294117647,0.8823529411764706,17,1000.0,20260909
goedel-prover-v2-32b,all_valid_mean,E,0.7147058823529412,0.5735294117647058,0.8470588235294116,,,17,,20260909
goedel-prover-v2-32b,best_valid_oracle,E,1.0,1.0,1.0,,,17,,20260909
goedel-prover-v2-32b,worst_valid_oracle,E,0.4411764705882353,0.20588235294117646,0.6764705882352942,,,17,,20260909
deepseek-prover-v2-7b,first_valid,overall,0.5929339477726575,0.5230414746543778,0.6666666666666666,,,31,,20260909
deepseek-prover-v2-7b,shortest_valid,overall,0.5579877112135176,0.510752688172043,0.6094470046082949,,,31,,20260909
deepseek-prover-v2-7b,random_valid,overall,0.5969923195084487,0.546505376344086,0.6484264592933948,0.5568356374807987,0.6359447004608295,31,1000.0,20260909
deepseek-prover-v2-7b,all_valid_mean,overall,0.5965437788018433,0.546505376344086,0.6484264592933948,,,31,,20260909
deepseek-prover-v2-7b,best_valid_oracle,overall,0.652073732718894,0.5867799539170506,0.717741935483871,,,31,,20260909
deepseek-prover-v2-7b,worst_valid_oracle,overall,0.5057603686635944,0.46505376344086025,0.5537634408602151,,,31,,20260909
deepseek-prover-v2-7b,first_valid,S,0.13333333333333333,0.03333333333333333,0.25,,,30,,20260909
deepseek-prover-v2-7b,shortest_valid,S,0.08333333333333333,0.0,0.18333333333333332,,,30,,20260909
deepseek-prover-v2-7b,random_valid,S,0.19288333333333332,0.10220833333333333,0.2916666666666667,0.1,0.3,30,1000.0,20260909
deepseek-prover-v2-7b,all_valid_mean,S,0.19277777777777774,0.10220833333333333,0.2916666666666667,,,30,,20260909
deepseek-prover-v2-7b,best_valid_oracle,S,0.4,0.23333333333333334,0.5666666666666667,,,30,,20260909
deepseek-prover-v2-7b,worst_valid_oracle,S,0.0,0.0,0.0,,,30,,20260909
deepseek-prover-v2-7b,first_valid,E,0.7222222222222222,0.5,0.8888888888888888,,,18,,20260909
deepseek-prover-v2-7b,shortest_valid,E,0.7222222222222222,0.5,0.8888888888888888,,,18,,20260909
deepseek-prover-v2-7b,random_valid,E,0.6958333333333333,0.5055555555555555,0.8638888888888889,0.6111111111111112,0.7777777777777778,18,1000.0,20260909
deepseek-prover-v2-7b,all_valid_mean,E,0.6944444444444444,0.5055555555555555,0.8638888888888889,,,18,,20260909
deepseek-prover-v2-7b,best_valid_oracle,E,0.8333333333333334,0.6666666666666666,1.0,,,18,,20260909
deepseek-prover-v2-7b,worst_valid_oracle,E,0.5,0.2777777777777778,0.7222222222222222,,,18,,20260909
