model,class,tasks,delta,lo_min,lo_max,hi_min,hi_max,share_seeds_excluding_zero,distinct_task_diffs
deepseek-prover-v2-7b,all,25,15.619047619047615,7.619047619047619,8.0,23.904761904761905,24.238095238095237,1.0,5
deepseek-prover-v2-7b,structural,25,14.000000000000002,0.0,2.0,28.000000000000004,30.0,0.38,4
deepseek-prover-v2-7b,semantic,15,37.777777777777786,13.333333333333334,15.555555555555555,62.22222222222222,62.22222222222222,1.0,3
goedel-prover-v2-8b,all,23,20.3416149068323,11.696428571428573,12.008281573498964,28.676242236024823,29.1407867494824,1.0,5
goedel-prover-v2-8b,structural,23,21.73913043478261,4.3478260869565215,4.3478260869565215,39.130434782608695,41.30434782608695,1.0,4
goedel-prover-v2-8b,semantic,15,42.77777777777778,11.111111111111112,11.666666666666666,70.55555555555556,71.66666666666667,1.0,5
goedel-prover-v2-32b,all,21,18.820861678004533,9.863945578231291,10.317460317460316,27.77777777777778,28.174603174603174,1.0,5
goedel-prover-v2-32b,structural,21,23.809523809523807,4.761904761904762,7.142857142857142,42.857142857142854,45.23809523809524,1.0,4
goedel-prover-v2-32b,semantic,14,29.761904761904763,-1.1904761904761894,0.0,57.14285714285714,59.523809523809526,0.0,5
