model_id,rule,class,n_tasks,reference_psr,model_psr,delta,ci_low,ci_high,draw_p2_5,draw_p97_5
goedel-prover-v2-8b,first_valid,all,23,0.43012422360248437,0.6335403726708073,0.203416149068323,0.12008281573498965,0.2872670807453416,,
goedel-prover-v2-8b,shortest_valid,all,23,0.43012422360248437,0.6542443064182193,0.224120082815735,0.13768115942028986,0.3100414078674948,,
goedel-prover-v2-8b,random_valid,all,23,0.43012422360248437,0.6370859213250517,0.20684057971014494,0.13260869565217395,0.28206715838509316,0.16097308488612835,0.2458592132505176
goedel-prover-v2-8b,all_valid_mean,all,23,0.43012422360248437,0.6370859213250517,0.20696169772256728,0.13260869565217395,0.28206715838509316,,
goedel-prover-v2-8b,best_valid_oracle,all,23,0.43012422360248437,0.6977225672877845,0.26759834368530017,0.1796066252587992,0.3545548654244306,,
goedel-prover-v2-8b,worst_valid_oracle,all,23,0.43012422360248437,0.5439958592132504,0.11387163561076603,0.04503105590062111,0.19306418219461693,,
goedel-prover-v2-8b,first_valid,structural,23,0.021739130434782608,0.2391304347826087,0.21739130434782608,0.043478260869565216,0.41304347826086957,,
goedel-prover-v2-8b,shortest_valid,structural,23,0.021739130434782608,0.2391304347826087,0.21739130434782608,0.043478260869565216,0.391304347826087,,
goedel-prover-v2-8b,random_valid,structural,23,0.021739130434782608,0.2510869565217391,0.2279782608695652,0.08007246376811594,0.3855072463768116,0.13043478260869565,0.32608695652173914
goedel-prover-v2-8b,all_valid_mean,structural,23,0.021739130434782608,0.2510869565217391,0.2293478260869565,0.08007246376811594,0.3855072463768116,,
goedel-prover-v2-8b,best_valid_oracle,structural,23,0.021739130434782608,0.391304347826087,0.3695652173913043,0.17391304347826086,0.5652173913043478,,
goedel-prover-v2-8b,worst_valid_oracle,structural,23,0.021739130434782608,0.08695652173913043,0.06521739130434782,-0.043478260869565216,0.1956521739130435,,
goedel-prover-v2-8b,first_valid,semantic,15,0.3555555555555555,0.7833333333333333,0.4277777777777778,0.13333333333333333,0.7166666666666667,,
goedel-prover-v2-8b,shortest_valid,semantic,15,0.3555555555555555,0.8666666666666667,0.5111111111111112,0.26666666666666666,0.7555555555555556,,
goedel-prover-v2-8b,random_valid,semantic,15,0.3555555555555555,0.7730555555555555,0.42028888888888893,0.1375,0.6852777777777778,0.2777777777777778,0.5448611111111108
goedel-prover-v2-8b,all_valid_mean,semantic,15,0.3555555555555555,0.7730555555555555,0.41750000000000004,0.1375,0.6852777777777778,,
goedel-prover-v2-8b,best_valid_oracle,semantic,15,0.3555555555555555,0.9333333333333333,0.5777777777777778,0.3333333333333333,0.8222222222222223,,
goedel-prover-v2-8b,worst_valid_oracle,semantic,15,0.3555555555555555,0.5222222222222223,0.16666666666666666,-0.13333333333333333,0.4666666666666667,,
goedel-prover-v2-32b,first_valid,all,21,0.4353741496598638,0.6235827664399092,0.18820861678004533,0.09920634920634921,0.2777777777777778,,
goedel-prover-v2-32b,shortest_valid,all,21,0.4353741496598638,0.6808390022675737,0.24546485260770973,0.15759637188208617,0.336734693877551,,
goedel-prover-v2-32b,random_valid,all,21,0.4353741496598638,0.6447845804988661,0.20921088435374147,0.1373015873015873,0.2853769841269841,0.15419501133786848,0.2613378684807256
goedel-prover-v2-32b,all_valid_mean,all,21,0.4353741496598638,0.6447845804988661,0.20941043083900224,0.1373015873015873,0.2853769841269841,,
goedel-prover-v2-32b,best_valid_oracle,all,21,0.4353741496598638,0.744331065759637,0.3089569160997732,0.22959183673469385,0.3837868480725623,,
goedel-prover-v2-32b,worst_valid_oracle,all,21,0.4353741496598638,0.5243764172335601,0.08900226757369614,0.023809523809523808,0.1678004535147392,,
goedel-prover-v2-32b,first_valid,structural,21,0.023809523809523808,0.2619047619047619,0.23809523809523808,0.047619047619047616,0.42857142857142855,,
goedel-prover-v2-32b,shortest_valid,structural,21,0.023809523809523808,0.40476190476190477,0.38095238095238093,0.16666666666666666,0.5952380952380952,,
goedel-prover-v2-32b,random_valid,structural,21,0.023809523809523808,0.27142857142857146,0.24811904761904763,0.12380952380952381,0.3857142857142857,0.11904761904761904,0.38095238095238093
goedel-prover-v2-32b,all_valid_mean,structural,21,0.023809523809523808,0.27142857142857146,0.24761904761904763,0.12380952380952381,0.3857142857142857,,
goedel-prover-v2-32b,best_valid_oracle,structural,21,0.023809523809523808,0.5238095238095238,0.5,0.30952380952380953,0.6904761904761905,,
goedel-prover-v2-32b,worst_valid_oracle,structural,21,0.023809523809523808,0.047619047619047616,0.023809523809523808,-0.07142857142857142,0.14285714285714285,,
goedel-prover-v2-32b,first_valid,semantic,14,0.380952380952381,0.6785714285714286,0.2976190476190476,0.0,0.5952380952380952,,
goedel-prover-v2-32b,shortest_valid,semantic,14,0.380952380952381,0.6428571428571429,0.2619047619047619,-0.09523809523809522,0.6190476190476192,,
goedel-prover-v2-32b,random_valid,semantic,14,0.380952380952381,0.725,0.34772619047619047,0.10714285714285716,0.5833333333333333,0.1904761904761905,0.5476190476190477
goedel-prover-v2-32b,all_valid_mean,semantic,14,0.380952380952381,0.725,0.3440476190476191,0.10714285714285716,0.5833333333333333,,
goedel-prover-v2-32b,best_valid_oracle,semantic,14,0.380952380952381,1.0,0.6190476190476192,0.3571428571428572,0.8571428571428571,,
goedel-prover-v2-32b,worst_valid_oracle,semantic,14,0.380952380952381,0.4642857142857143,0.08333333333333334,-0.21428571428571427,0.380952380952381,,
deepseek-prover-v2-7b,first_valid,all,25,0.4357142857142857,0.5919047619047618,0.15619047619047616,0.08,0.23953571428571413,,
deepseek-prover-v2-7b,shortest_valid,all,25,0.4357142857142857,0.5485714285714285,0.11285714285714285,0.04945238095238101,0.1857142857142857,,
deepseek-prover-v2-7b,random_valid,all,25,0.4357142857142857,0.591047619047619,0.15574428571428572,0.09399999999999999,0.21966666666666665,0.10952380952380952,0.1961904761904762
deepseek-prover-v2-7b,all_valid_mean,all,25,0.4357142857142857,0.591047619047619,0.15533333333333332,0.09399999999999999,0.21966666666666665,,
deepseek-prover-v2-7b,best_valid_oracle,all,25,0.4357142857142857,0.6519047619047619,0.21619047619047613,0.13333333333333333,0.29666666666666663,,
deepseek-prover-v2-7b,worst_valid_oracle,all,25,0.4357142857142857,0.4838095238095238,0.0480952380952381,0.011428571428571429,0.09,,
deepseek-prover-v2-7b,first_valid,structural,25,0.02,0.16,0.14,0.0,0.28,,
