population,prover,n_tasks,pct_basic,pct_recursive,median_code_loc,mean_code_loc,median_code_tokens,median_postcond_loc,mean_certified_variants,pct_with_T1,pct_with_T2,pct_with_T3,pct_with_T4,pct_with_T5
construction_population,all,185,0.5783783783783784,0.42162162162162165,6.0,8.248648648648649,39.0,3.0,2.4756756756756757,0.972972972972973,0.9621621621621622,0.1837837837837838,0.17297297297297298,0.0972972972972973
benchmark_tasks_with_variants,all,180,0.5944444444444444,0.40555555555555556,6.0,7.75,37.0,3.0,2.5444444444444443,1.0,0.9888888888888889,0.18888888888888888,0.17777777777777778,0.1
reference_subset,all,46,1.0,0.06521739130434782,1.0,2.652173913043478,13.0,2.0,2.8260869565217392,1.0,1.0,0.2391304347826087,0.2608695652173913,0.2391304347826087
solved_by_model,deepseek-prover-v2-7b,31,0.9354838709677419,0.03225806451612903,1.0,2.2903225806451615,9.0,1.0,3.064516129032258,1.0,0.967741935483871,0.3548387096774194,0.2903225806451613,0.2903225806451613
matched_subset,deepseek-prover-v2-7b,25,1.0,0.0,1.0,2.16,8.0,1.0,3.16,1.0,1.0,0.36,0.32,0.32
solved_by_model,goedel-prover-v2-8b,29,0.896551724137931,0.034482758620689655,1.0,2.413793103448276,9.0,1.0,3.206896551724138,1.0,0.9655172413793104,0.3793103448275862,0.3448275862068966,0.3448275862068966
matched_subset,goedel-prover-v2-8b,23,1.0,0.0,1.0,2.0869565217391304,8.0,1.0,3.260869565217391,1.0,1.0,0.391304347826087,0.34782608695652173,0.34782608695652173
solved_by_model,goedel-prover-v2-32b,26,0.9230769230769231,0.038461538461538464,1.0,2.230769230769231,8.0,1.0,3.1923076923076925,1.0,0.9615384615384616,0.4230769230769231,0.3076923076923077,0.3076923076923077
matched_subset,goedel-prover-v2-32b,21,1.0,0.0,1.0,2.0,8.0,1.0,3.2857142857142856,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333
