source,benchmark_tasks,tasks_with_valid_proof,task_coverage,conditional_psr,robust_coverage,ci_low,ci_high
reference,180,46,0.25555555555555554,0.4791925465838509,0.12246031746031746,0.09038260582010582,0.15502744708994706
qwen3-14b,180,5,0.027777777777777776,0.3833333333333333,0.010648148148148148,0.0018518518518518517,0.020833333333333332
qwen3-32b,180,5,0.027777777777777776,0.5833333333333333,0.016203703703703703,0.0037037037037037034,0.033796296296296297
goedel-prover-v2-8b,180,29,0.16111111111111112,0.6461412151067324,0.1041005291005291,0.06891369047619046,0.14160218253968251
goedel-prover-v2-32b,180,26,0.14444444444444443,0.6446886446886446,0.0931216931216931,0.059259259259259255,0.1296957671957672
deepseek-prover-v2-7b,180,31,0.17222222222222222,0.5929339477726575,0.1021164021164021,0.06832010582010582,0.13802910052910053
