comparison,support,n_cells,n_tasks,model_psr,reference_psr,delta,ci_low,ci_high
deepseek-prover-v2-7b_vs_reference,pairwise_common_cells,75,25,0.5919047619047618,0.4357142857142857,0.15619047619047616,0.08,0.23953571428571413
goedel-prover-v2-8b_vs_reference,pairwise_common_cells,71,23,0.6335403726708073,0.43012422360248437,0.203416149068323,0.12008281573498965,0.2872670807453416
goedel-prover-v2-32b_vs_reference,pairwise_common_cells,65,21,0.6235827664399092,0.4353741496598638,0.18820861678004533,0.09920634920634921,0.2777777777777778
deepseek-prover-v2-7b_vs_reference,four_source_common_cells,65,21,0.6094104308390021,0.4353741496598638,0.1740362811791383,0.08333333333333333,0.268140589569161
goedel-prover-v2-8b_vs_reference,four_source_common_cells,65,21,0.6462585034013605,0.4353741496598638,0.2108843537414966,0.123015873015873,0.30158730158730157
goedel-prover-v2-32b_vs_reference,four_source_common_cells,65,21,0.6235827664399092,0.4353741496598638,0.18820861678004533,0.09920634920634921,0.2777777777777778
