model_id,hf_checkpoint,tasks_attempted,denominator_tasks,coverage_at_1,n_tasks_at_1,coverage_at_2,n_tasks_at_2,coverage_at_3,n_tasks_at_3,coverage_at_4,n_tasks_at_4,coverage_at_5,n_tasks_at_5,tasks_with_any_valid,pct_tasks_with_any_valid,total_valid_artifacts,total_samples
qwen3-14b,Qwen/Qwen3-14B,189,189,0.005291005291005291,1,0.015873015873015872,3,0.021164021164021163,4,0.026455026455026454,5,0.026455026455026454,5,5,0.026455026455026454,8,945
qwen3-32b,Qwen/Qwen3-32B,189,189,0.015873015873015872,3,0.015873015873015872,3,0.021164021164021163,4,0.026455026455026454,5,0.026455026455026454,5,5,0.026455026455026454,7,945
goedel-prover-v2-8b,Goedel-LM/Goedel-Prover-V2-8B,189,189,0.09523809523809523,18,0.14285714285714285,27,0.14285714285714285,27,0.14814814814814814,28,0.15343915343915343,29,29,0.15343915343915343,100,945
goedel-prover-v2-32b,Goedel-LM/Goedel-Prover-V2-32B,189,189,0.1164021164021164,22,0.13227513227513227,25,0.13227513227513227,25,0.13756613756613756,26,0.13756613756613756,26,26,0.13756613756613756,108,945
deepseek-prover-v2-7b,deepseek-ai/DeepSeek-Prover-V2-7B,189,189,0.12698412698412698,24,0.14285714285714285,27,0.14285714285714285,27,0.164021164021164,31,0.164021164021164,31,31,0.164021164021164,111,945
