model_id,tasks_with_valid_proof,tasks_with_2plus_valid,mean_valid_samples,pct_identical_outcomes,pct_any_disagreement,mean_psr_range,max_psr_range,mean_psr_S_range,mean_psr_E_range,within_task_variance,between_task_variance,within_task_variance_share,mean_abs_first_valid_minus_mean
deepseek-prover-v2-7b,31,26,3.5806451612903225,0.46153846153846156,0.5384615384615384,0.17445054945054944,0.5,0.48,0.35294117647058826,0.013809850863422292,0.020072270525567225,0.4075851893946051,0.06749084249084249
goedel-prover-v2-32b,26,24,4.153846153846154,0.2916666666666667,0.7083333333333334,0.22371031746031744,0.5,0.5416666666666666,0.5588235294117647,0.017213777872260014,0.014706846714380198,0.5392682034005225,0.0855654761904762
goedel-prover-v2-8b,29,25,3.4482758620689653,0.44,0.56,0.1514285714285714,0.5,0.36,0.4537037037037038,0.01032997448979592,0.02503037188208617,0.29213442597977857,0.04726190476190475
qwen3-14b,5,2,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
qwen3-32b,5,2,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444446,0.0,0.0
