contrast,left_out_task,delta,delta_full,shift_pp,n_a_remaining,n_b_remaining,bridge_tasks_remaining
structural_rfl_vs_all_other,verina_advanced_41,0.8958333333333334,0.8979591836734694,-0.21258503401360151,8,96,5
structural_rfl_vs_all_other,verina_advanced_6,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_advanced_72,0.8958333333333334,0.8979591836734694,-0.21258503401360151,12,96,6
structural_rfl_vs_all_other,verina_basic_1,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_100,0.8913043478260869,0.8979591836734694,-0.6654835847382468,12,92,6
structural_rfl_vs_all_other,verina_basic_101,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_107,0.8958333333333334,0.8979591836734694,-0.21258503401360151,11,96,5
structural_rfl_vs_all_other,verina_basic_11,0.9072164948453608,0.8979591836734694,0.9257311171891436,10,97,5
structural_rfl_vs_all_other,verina_basic_12,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_14,0.8958333333333334,0.8979591836734694,-0.21258503401360151,11,96,5
structural_rfl_vs_all_other,verina_basic_16,0.8969072164948454,0.8979591836734694,-0.10519671786239915,12,97,6
structural_rfl_vs_all_other,verina_basic_17,0.8969072164948454,0.8979591836734694,-0.10519671786239915,12,97,6
structural_rfl_vs_all_other,verina_basic_26,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_3,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_31,0.8969072164948454,0.8979591836734694,-0.10519671786239915,12,97,6
structural_rfl_vs_all_other,verina_basic_36,0.8969072164948454,0.8979591836734694,-0.10519671786239915,12,97,6
structural_rfl_vs_all_other,verina_basic_42,0.8979591836734694,0.8979591836734694,0.0,9,98,5
structural_rfl_vs_all_other,verina_basic_5,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_50,0.8913043478260869,0.8979591836734694,-0.6654835847382468,12,92,6
structural_rfl_vs_all_other,verina_basic_55,0.9239130434782609,0.8979591836734694,2.595385980479148,12,92,6
structural_rfl_vs_all_other,verina_basic_59,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_6,0.8936170212765957,0.8979591836734694,-0.43421623968736833,12,94,6
structural_rfl_vs_all_other,verina_basic_66,0.8913043478260869,0.8979591836734694,-0.6654835847382468,12,92,6
structural_rfl_vs_all_other,verina_basic_76,0.9021739130434783,0.8979591836734694,0.4214729370008885,12,92,6
structural_rfl_vs_all_other,verina_basic_78,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_8,0.8913043478260869,0.8979591836734694,-0.6654835847382468,12,92,6
structural_rfl_vs_all_other,verina_basic_88,0.8969072164948454,0.8979591836734694,-0.10519671786239915,12,97,6
structural_rfl_vs_all_other,verina_basic_91,0.9052631578947369,0.8979591836734694,0.7303974221267495,12,95,6
structural_rfl_vs_all_other,verina_basic_92,0.8947368421052632,0.8979591836734694,-0.3222341568206222,12,95,6
structural_rfl_vs_all_other,verina_basic_96,0.9263157894736842,0.8979591836734694,2.835660580021482,12,95,6
structural_rfl_vs_all_other,verina_basic_98,0.90625,0.8979591836734694,0.8290816326530615,11,96,5
structural_rfl_vs_all_other,verina_basic_99,0.8913043478260869,0.8979591836734694,-0.6654835847382468,12,92,6
semantic_rfl_vs_simp,verina_advanced_41,-0.8333333333333334,-0.835820895522388,0.24875621890546595,2,66,2
semantic_rfl_vs_simp,verina_advanced_72,-0.8333333333333334,-0.835820895522388,0.24875621890546595,4,66,3
semantic_rfl_vs_simp,verina_basic_1,-0.8615384615384616,-0.835820895522388,-2.5717566016073556,4,65,3
semantic_rfl_vs_simp,verina_basic_100,-0.8103448275862069,-0.835820895522388,2.547606793618118,4,58,3
semantic_rfl_vs_simp,verina_basic_101,-0.819672131147541,-0.835820895522388,1.6148764374847024,4,61,3
semantic_rfl_vs_simp,verina_basic_107,-0.8461538461538461,-0.835820895522388,-1.0332950631458115,3,65,2
semantic_rfl_vs_simp,verina_basic_12,-0.8615384615384616,-0.835820895522388,-2.5717566016073556,4,65,3
semantic_rfl_vs_simp,verina_basic_5,-0.8307692307692308,-0.835820895522388,0.5051664753157215,4,65,3
semantic_rfl_vs_simp,verina_basic_50,-0.828125,-0.835820895522388,0.769589552238803,4,64,3
semantic_rfl_vs_simp,verina_basic_55,-0.828125,-0.835820895522388,0.769589552238803,4,64,3
semantic_rfl_vs_simp,verina_basic_59,-0.819672131147541,-0.835820895522388,1.6148764374847024,4,61,3
semantic_rfl_vs_simp,verina_basic_6,-0.8307692307692308,-0.835820895522388,0.5051664753157215,4,65,3
semantic_rfl_vs_simp,verina_basic_66,-0.8307692307692308,-0.835820895522388,0.5051664753157215,4,65,3
semantic_rfl_vs_simp,verina_basic_76,-0.828125,-0.835820895522388,0.769589552238803,4,64,3
semantic_rfl_vs_simp,verina_basic_78,-0.859375,-0.835820895522388,-2.355410447761197,4,64,3
semantic_rfl_vs_simp,verina_basic_8,-0.828125,-0.835820895522388,0.769589552238803,4,64,3
semantic_rfl_vs_simp,verina_basic_92,-0.828125,-0.835820895522388,0.769589552238803,4,64,3
semantic_rfl_vs_simp,verina_basic_98,-0.8461538461538461,-0.835820895522388,-1.0332950631458115,3,65,2
semantic_rfl_vs_simp,verina_basic_99,-0.8545454545454545,-0.835820895522388,-1.8724559023066467,4,55,3
